#
# Run File created 12/08/2015 5:03:01 PM
#

#
# 
#

# Ch1_Incident WP                     Moving          14.671(x - zero)
# Ch2_Phase WP                        Moving          17.273(x - zero)
# Ch3_OWC WP                          Moving          22.575(x - zero)
# Ch4_OWC Pressure                    Moving          41.623(x - zero)

TITLE="Calibration"
VARIABLES="Time" "Ch1_Incident WP" "Ch2_Phase WP" "Ch3_OWC WP" "Ch4_OWC Pressure" 
ZONE T="Calibration" F=POINT 
0.000000 -0.201395 -0.185819 -0.129875 -0.086480 
1.000000 14.670759 17.272866 22.574672 41.623146 

TITLE="Data"
VARIABLES="Time" "Ch1_Incident WP" "Ch2_Phase WP" "Ch3_OWC WP" "Ch4_OWC Pressure" 
ZONE T="Data" F=POINT 
0.890000 -0.191305 -0.194206 -0.124268 -0.105575 
0.895000 -0.188405 -0.191305 -0.122979 -0.088815 
0.900000 -0.193239 -0.194851 -0.125879 -0.091716 
0.905000 -0.193239 -0.192595 -0.124268 -0.087526 
0.910000 -0.192272 -0.193561 -0.122656 -0.088493 
0.915000 -0.192272 -0.190016 -0.122012 -0.085915 
0.920000 -0.191628 -0.195173 -0.125879 -0.086237 
0.925000 -0.189372 -0.192595 -0.121045 -0.083659 
0.930000 -0.190016 -0.193239 -0.124268 -0.089460 
0.935000 -0.187760 -0.191305 -0.121045 -0.091072 
0.940000 -0.193239 -0.192595 -0.124913 -0.089782 
0.945000 -0.188405 -0.193884 -0.122656 -0.083981 
0.950000 -0.191305 -0.194206 -0.125235 -0.088493 
0.955000 -0.188082 -0.190661 -0.120723 -0.085915 
0.960000 -0.191305 -0.193884 -0.125557 -0.078502 
0.965000 -0.191305 -0.193239 -0.125235 -0.085915 
0.970000 -0.190338 -0.192272 -0.124913 -0.086237 
0.975000 -0.191628 -0.193561 -0.123301 -0.102030 
0.980000 -0.191305 -0.194206 -0.124913 -0.082692 
0.985000 -0.192595 -0.194528 -0.125557 -0.102996 
0.990000 -0.190983 -0.190983 -0.123623 -0.084303 
0.995000 -0.190661 -0.191305 -0.125879 -0.092683 
1.000000 -0.191305 -0.191628 -0.124913 -0.084626 
1.005000 -0.192595 -0.195173 -0.125557 -0.088815 
1.010000 -0.188082 -0.191628 -0.121045 -0.089138 
1.015000 -0.190661 -0.191305 -0.123946 -0.081725 
1.020000 -0.190016 -0.190016 -0.124268 -0.076568 
1.025000 -0.192595 -0.193561 -0.126846 -0.083014 
1.030000 -0.186793 -0.188082 -0.122979 -0.086882 
1.035000 -0.191950 -0.189694 -0.124590 -0.098162 
1.040000 -0.190338 -0.189372 -0.124268 -0.086559 
1.045000 -0.191950 -0.194528 -0.124913 -0.083659 
1.050000 -0.188405 -0.191950 -0.123946 -0.085592 
1.055000 -0.188727 -0.191628 -0.124913 -0.082047 
1.060000 -0.190661 -0.193884 -0.124590 -0.084303 
1.065000 -0.191628 -0.191950 -0.124268 -0.081725 
1.070000 -0.190661 -0.190016 -0.123623 -0.079147 
1.075000 -0.188405 -0.191628 -0.122334 -0.093005 
1.080000 -0.189372 -0.193884 -0.127491 -0.085592 
1.085000 -0.191305 -0.190983 -0.125557 -0.095261 
1.090000 -0.190338 -0.191950 -0.124268 -0.091394 
1.095000 -0.188082 -0.188727 -0.123301 -0.073668 
1.100000 -0.194851 -0.194206 -0.127491 -0.085592 
1.105000 -0.190016 -0.191950 -0.123301 -0.080113 
1.110000 -0.190016 -0.192272 -0.124268 -0.086882 
1.115000 -0.187116 -0.190661 -0.121690 -0.083336 
1.120000 -0.193561 -0.191305 -0.125879 -0.088815 
1.125000 -0.188082 -0.188727 -0.124590 -0.086559 
1.130000 -0.189049 -0.190016 -0.123623 -0.098807 
1.135000 -0.185826 -0.187116 -0.122979 -0.100096 
1.140000 -0.189694 -0.192272 -0.126846 -0.082692 
1.145000 -0.187438 -0.190338 -0.125879 -0.088815 
1.150000 -0.191628 -0.190338 -0.124913 -0.086882 
1.155000 -0.186793 -0.189372 -0.124913 -0.082047 
1.160000 -0.190338 -0.192917 -0.126202 -0.090105 
1.165000 -0.188082 -0.190338 -0.126524 -0.084948 
1.170000 -0.189049 -0.190016 -0.124913 -0.090427 
1.175000 -0.188405 -0.188082 -0.126846 -0.092683 
1.180000 -0.192272 -0.191305 -0.126846 -0.085915 
1.185000 -0.190338 -0.190016 -0.125557 -0.089782 
1.190000 -0.189694 -0.190016 -0.124913 -0.079147 
1.195000 -0.192272 -0.189694 -0.123946 -0.083659 
1.200000 -0.191305 -0.193884 -0.125879 -0.085915 
1.205000 -0.190016 -0.191628 -0.127169 -0.082047 
1.210000 -0.186793 -0.187760 -0.124590 -0.091072 
1.215000 -0.186793 -0.188405 -0.125557 -0.088493 
1.220000 -0.190983 -0.189694 -0.125879 -0.084626 
1.225000 -0.187760 -0.190983 -0.125235 -0.095906 
1.230000 -0.183893 -0.189694 -0.123301 -0.086559 
